2010 Census,,,City,TotalSale,,,Land Area,,,Households with Under 18,,,Population Density,,,Total Families,,
4.585,Q1,7.917,Buffalo,185328,Q1,226152,3115.5075,Q1,1861.721074,746,Q1,1327,1.55,Q1,1.72,1819.5,Q1,2923.41
35.316,Q3,27.57425,Casper,317736,Q3,315360,3894.3091,Q3,3670.471065,7788,Q3,4044.5,11.16,Q3,8.185,8756.32,Q3,7476.4925
59.466,IQR,19.65725,Cheyenne,917892,IQR,89208,1500.1784,IQR,1808.749991,7158,IQR,2717.5,20.34,IQR,6.465,14612.64,IQR,4553.0825
9.520,Upper Fence,57.060125,Cody,218376,Upper Fence,449172,2998.95696,Upper Fence,6383.596052,1403,Upper Fence,8120.75,1.82,Upper Fence,17.8825,3515.62,Upper Fence,14306.11625
6.120,Lower Fence,-21.568875,Douglas,208008,Lower Fence,92340,1829.4651,Lower Fence,-851.4039125,832,Lower Fence,-2749.25,1.46,Lower Fence,-7.9775,1744.08,Lower Fence,-3906.21375
12.359,,,Evanston,283824,,,999.4971,,,1486,,,4.95,,,2712.64,,
29.087,,,Gillette,543132,,,2748.8529,,,4052,,,5.8,,,7189.43,,
6.314,,,Powell,233928,,,2673.57455,,,1251,,,1.62,,,3134.18,,
10.615,,,Riverton,303264,,,4796.859815,,,2680,,,2.34,,,5556.49,,
23.036,,,Rock Springs,253584,,,6620.201916,,,4022,,,2.78,,,7572.18,,
17.444,,,Sheridan,308232,,,1893.977048,,,2646,,,8.98,,,6039.71,,
,,,,,,,,,,,,,,,,,,
